brand,count,examples
"HYDROCOL",1,"HYDROCOL HOTPAC PC OVSZ 15X24N"
"BACITRACIN",1,"BACITRACIN OI 500U/GM 28GM"
"BIOFREEZE",1,"BIOFREEZE AE 10.5% 89ML PBF"
"SENOKOT",1,"SENOKOT-S TB 8.6-50MG 30"
"NWY",1,"NWY VALERIAN ROOT CP 530MG 100"
"NEXCARE",1,"NEXCARE BLISTER AP 6 WP O/S"
"CONTOUR",1,"CONTOUR PACK W/STRAP PC RUS HT/C"
"LUMIFY",1,"LUMIFY DR 0.025% 7.5ML OPTH"
"SODIUM",1,"SODIUM CL SL 5% 15ML OPTH"
"SUNBUM",1,"SUNBUM LT 3-10-5-3.75% 170GMSPF30"
"THERMOPHORE",1,"THERMOPHORE PD MD 14X14N"
"TWICE",1,"TWICE A DAY PILL ORGZ BOXED"
"SPRAY",1,"SPRAY LENS CLNR SP 15ML EYEGLASS"
"PROFOAM",1,"PROFOAM UNDERWRAP PD 2.75INX25YD"
"ACETAMINOPHEN",1,"ACETAMINOPHEN TB 325MG 100 RS"
"DELSYM",1,"DELSYM SS 30MG/5ML 5OZ AF 12H ORN"
"DOCUSATE",1,"DOCUSATE SOD GC 100MG 100 SFG"
"ELASTIC",1,"ELASTIC SPORTS TP 20CT BEIGE"
"HONEY",1,"HONEY POT PA 1% 30EA A/I STH WPS"
"JOLEN",1,"JOLEN CREAM BLEACH 4OZ"
"LACTAID",1,"LACTAID FAST ACT TB 9MU 32"
"LITTLE",1,"LITTLE NOSES SALINE DR 0.65% 30ML"
"PEPPERMINT",1,"PEPPERMINT OL 1OZ SPIRIT USP"
"CALAMINE",1,"CALAMINE LOTION 8-8% 177ML"
"COLACE",1,"COLACE 2IN1 TB 8.6-50MG 30"
"COLPAC",1,"COLPAC PC HALF SZ 7.5X11N BLUE"
"ROLAIDS",1,"ROLAIDS ULTRA STRNTH CW 10 AS FRT"
"PHILLIPS",1,"PHILLIPS MOM SS 360ML ORIG"
"GENTEAL",1,"GENTEAL TEARS DR0.1-0.3-0.2% 15ML"
"SUDOGEST",1,"SUDOGEST TB 30MG 100"
"UNDERPADS",1,"UNDERPADS 30X36N 4X10 PREMIUM"
"VAPORIZER",1,"VAPORIZER VICKS EQ 1.5GAL"
"ALWAYS",1,"ALWAYS DISCREET PA 2X33 XHVY S6"
"NSL",1,"NSL DEC SN 0.05% 30ML NO DRP 12HR"
"ZEWA",1,"ZEWA NON-CONTACT THERMOMETER EQ"
"ALLERGY",1,"ALLERGY TB 4MG 24"
"AUTODROP",1,"AUTODROP EYE DROP AID"
"BALMEX",1,"BALMEX DIAPER RASH CR 11.3% 453GM"
"ABDOMINAL",1,"ABDOMINAL PA 5X9N 20 STR"
"BACITRAYCIN",1,"BACITRAYCIN PLUS OI 28GM W/ALOE"
"BENGAY",1,"BENGAY CR 30-10-4% 113GM USTR"
"EPT",1,"EPT TS 2 ANALOG"
"ACCU",1,"ACCU-CHEK GUIDE SI 50"
"FLOSS",1,"FLOSS PICKS 2IN1 50 CSTRCH MNT"
"MEPILEX",1,"MEPILEX BORDER DS 4X4N 5 SADH"
"PEPTO",1,"PEPTO-BISMOL GC 262MG 12 LQGL"
"NEO",1,"NEO-SYNEPHRINE SN 0.5% 15ML RS"
"EUCERIN",1,"EUCERIN ADV HYD AE 170GM SPF50"
"GAS",1,"GAS RELIEF CW 80MG 100 AGS MNT"
"MG217",1,"MG217 ICHTHAMMOL OI 10% 28.3GM"
"PATADAY",1,"PATADAY DR 0.7% 2.5ML OPTH 1/D"
"SCH",1,"SCH CALLUS RMVR AP 40% 4  XTHK"
"CHD",1,"CHD ACETAMIN SS 160MG/5ML 118ML"
"ANBESOL",1,"ANBESOL GL 20% 9GM MS"
"SECRET",1,"SECRET WHOLE BDY DEO CR 3OZ PC+VN"
"CLEARCANAL",1,"CLEARCANAL DR 6.5% ERWX/RMV AD"
"CORTIZONE",1,"CORTIZONE-10 OI 1% 28GM I/RLF"
"DOVE",1,"DOVE WHOLE BODY CR 2.5OZ 73ML"
"NYQUIL",1,"NYQUIL COLD&FLU LQ 118ML"
"CONTAC",1,"CONTAC C/F GC15-6.25-325MG 24LQGL"
"HIBICLENS",1,"HIBICLENS A/SKN CLNS SL 4% 236ML"
"AMMONIUM",1,"AMMONIUM LACT LT 12% 225GM FF"
"ACETAMIN",1,"ACETAMIN SS160MG/5ML 59ML CHY CHD"
"EAR",1,"EAR WAX REMOVAL DR 6.5% 15ML"
"ORACOAT",1,"ORACOAT XYLIMELTS LZ 80 MILD MINT"
"AIRIAL",1,"AIRIAL FINGER PULSE OXIMETER EQ"
"ALLEGRA",1,"ALLEGRA 24H TB 180MG 30 ND"
"BUDESONIDE",1,"BUDESONIDE SN 32MCG 8.43ML"
"DENTAL",1,"DENTAL GUARD KT PROFESSIONAL LF"
"DOO",1,"DOO GRO MEGA THICK OL 4.5OZ FRML"
"CLOTRIMAZOLE",1,"CLOTRIMAZOLE CR 1% 30GM OTC"
"COMPEED",1,"COMPEED ADV BLISTER PD 12 MIXED"
"MACKS",1,"MACKS PS EARPLUG 12EA SIL"
"ICY",1,"ICY HOT ORIG CR 30-10%35.4GM PRLF"
"EXCEDRIN",1,"EXCEDRIN ES TB 250-250-65MG 100"
"GERI",1,"GERI-DRYL A/R LQ 12.5MG/5ML 473ML"
"MIRALAX",1,"MIRALAX PW 17GM/DS 119GM PEG 3350"
"LIP",1,"LIP BALM SPHERE ST STB SBT"
"LORATADINE",1,"LORATADINE TB 10MG 30"
"NASAMIST",1,"NASAMIST SALINE SP 125ML HYPR"
"NIVEA",1,"NIVEA COCOA BUTTER BODY CR 15.5OZ"
"PAIN",1,"PAIN RELIEF TB 500MG 100"
"PALMERS",1,"PALMERS CCBT HAIR CD 12OZ"
"CANE",1,"CANE EQ ALUMINUM ROUND/HANDLE"
"CITRACAL+D",1,"CITRACAL+D SL-R 1200 TB 80"
"MELATONIN",1,"MELATONIN TB 3MG 60"
"PILL",1,"PILL ORGZ 7DAY MD"
"OMEPRAZOLE",1,"OMEPRAZOLE TB 20MG 28 DR"
"CITRACAL",1,"CITRACAL PETITES TB400MG-500U 200"
"PREVAIL",1,"PREVAIL WSHCLTH PA 48 WW710"
"SUDAFED",1,"SUDAFED SIN/CONG 12H TB 120MG 20"
"VALERIAN",1,"VALERIAN ROOT CP 450MG 60 SF PF"
"CON183910",1,"CON183910 STOMAHESIVE PS 56.7GM"
"ENEMA",1,"ENEMA EN 133ML ADULT"
"ATRANTIL",1,"ATRANTIL CP 20 BPK G/F"
"FOLIC",1,"FOLIC ACID TB 400MCG 100"
"PRESERVISION",1,"PRESERVISION AREDS 2 GC 120 SFG"
"REMEDY",1,"REMEDY SPECIALIZED OI 15-49% 113"
"SINUCLEANSE",1,"SINUCLEANSE NETIPOT N/SYS KT"
"SWIFFER",1,"SWIFFER DRY DUSTER KT 5 W/HANDLE"
"VICKS",1,"VICKS SINUS STEAM INHALER EQ"
"SUPER",1,"SUPER STRENGTH BLUE-EMU CR 118GM"
